epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
33,8.507904803973376e-06,0.0002848158007090788,"tf.Tensor(0.55138594, shape=(), dtype=float32)","tf.Tensor(0.42080802, shape=(), dtype=float32)","tf.Tensor(0.91352856, shape=(), dtype=float32)","tf.Tensor(0.67229813, shape=(), dtype=float32)"
34,8.640150544699562e-06,0.00029345595125377836,"tf.Tensor(0.54964346, shape=(), dtype=float32)","tf.Tensor(0.41937435, shape=(), dtype=float32)","tf.Tensor(0.91570914, shape=(), dtype=float32)","tf.Tensor(0.6734427, shape=(), dtype=float32)"
35,8.485030788751458e-06,0.0003019409820425298,"tf.Tensor(0.5492253, shape=(), dtype=float32)","tf.Tensor(0.41969696, shape=(), dtype=float32)","tf.Tensor(0.91818595, shape=(), dtype=float32)","tf.Tensor(0.6755851, shape=(), dtype=float32)"
36,8.421983064382756e-06,0.0003103629651069126,"tf.Tensor(0.5482472, shape=(), dtype=float32)","tf.Tensor(0.41787305, shape=(), dtype=float32)","tf.Tensor(0.91889983, shape=(), dtype=float32)","tf.Tensor(0.67463225, shape=(), dtype=float32)"
37,8.818718703827486e-06,0.00031918168381074005,"tf.Tensor(0.5474018, shape=(), dtype=float32)","tf.Tensor(0.41756773, shape=(), dtype=float32)","tf.Tensor(0.9191068, shape=(), dtype=float32)","tf.Tensor(0.67428124, shape=(), dtype=float32)"
38,8.983956534541758e-06,0.0003281656403452818,"tf.Tensor(0.5449401, shape=(), dtype=float32)","tf.Tensor(0.4162645, shape=(), dtype=float32)","tf.Tensor(0.92071307, shape=(), dtype=float32)","tf.Tensor(0.6759805, shape=(), dtype=float32)"
39,8.83740705119231e-06,0.0003370030473964741,"tf.Tensor(0.5443532, shape=(), dtype=float32)","tf.Tensor(0.41589102, shape=(), dtype=float32)","tf.Tensor(0.9222052, shape=(), dtype=float32)","tf.Tensor(0.6765145, shape=(), dtype=float32)"
40,8.972127814890795e-06,0.0003459751752113649,"tf.Tensor(0.5425089, shape=(), dtype=float32)","tf.Tensor(0.41385266, shape=(), dtype=float32)","tf.Tensor(0.92380273, shape=(), dtype=float32)","tf.Tensor(0.67666566, shape=(), dtype=float32)"
41,8.004207442022029e-06,0.00035397938265338693,"tf.Tensor(0.5413374, shape=(), dtype=float32)","tf.Tensor(0.41349116, shape=(), dtype=float32)","tf.Tensor(0.92579377, shape=(), dtype=float32)","tf.Tensor(0.67805964, shape=(), dtype=float32)"
42,8.747596215487394e-06,0.0003627269788688743,"tf.Tensor(0.53909135, shape=(), dtype=float32)","tf.Tensor(0.41170067, shape=(), dtype=float32)","tf.Tensor(0.926518, shape=(), dtype=float32)","tf.Tensor(0.67789537, shape=(), dtype=float32)"
43,8.852083694385294e-06,0.0003715790625632596,"tf.Tensor(0.5378756, shape=(), dtype=float32)","tf.Tensor(0.41053855, shape=(), dtype=float32)","tf.Tensor(0.9273221, shape=(), dtype=float32)","tf.Tensor(0.6779663, shape=(), dtype=float32)"
44,8.693902241537674e-06,0.0003802729648047973,"tf.Tensor(0.5366678, shape=(), dtype=float32)","tf.Tensor(0.40999457, shape=(), dtype=float32)","tf.Tensor(0.9289846, shape=(), dtype=float32)","tf.Tensor(0.6790774, shape=(), dtype=float32)"
45,8.960999943814347e-06,0.0003892339647486116,"tf.Tensor(0.53422487, shape=(), dtype=float32)","tf.Tensor(0.40848836, shape=(), dtype=float32)","tf.Tensor(0.929339, shape=(), dtype=float32)","tf.Tensor(0.6794471, shape=(), dtype=float32)"
46,8.60762940507471e-06,0.00039784159415368634,"tf.Tensor(0.53202426, shape=(), dtype=float32)","tf.Tensor(0.40632653, shape=(), dtype=float32)","tf.Tensor(0.9320419, shape=(), dtype=float32)","tf.Tensor(0.6802502, shape=(), dtype=float32)"
47,8.608019574990862e-06,0.00040644961372867717,"tf.Tensor(0.5306135, shape=(), dtype=float32)","tf.Tensor(0.40606755, shape=(), dtype=float32)","tf.Tensor(0.9338952, shape=(), dtype=float32)","tf.Tensor(0.68157417, shape=(), dtype=float32)"
48,8.737356350911132e-06,0.0004151869700795883,"tf.Tensor(0.5319271, shape=(), dtype=float32)","tf.Tensor(0.4075333, shape=(), dtype=float32)","tf.Tensor(0.93664503, shape=(), dtype=float32)","tf.Tensor(0.6834528, shape=(), dtype=float32)"
49,8.267533340993859e-06,0.00042345450342058216,"tf.Tensor(0.53490895, shape=(), dtype=float32)","tf.Tensor(0.4105278, shape=(), dtype=float32)","tf.Tensor(0.9379366, shape=(), dtype=float32)","tf.Tensor(0.6853474, shape=(), dtype=float32)"
