epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
33,3.3411032002308616e-06,9.275710518813807e-05,"tf.Tensor(0.38464302, shape=(), dtype=float32)","tf.Tensor(0.21826434, shape=(), dtype=float32)","tf.Tensor(0.423586, shape=(), dtype=float32)","tf.Tensor(0.23785754, shape=(), dtype=float32)"
34,2.788477612172438e-06,9.554558280031051e-05,"tf.Tensor(0.3845469, shape=(), dtype=float32)","tf.Tensor(0.21841994, shape=(), dtype=float32)","tf.Tensor(0.4238617, shape=(), dtype=float32)","tf.Tensor(0.23819715, shape=(), dtype=float32)"
35,3.052300741881682e-06,9.85978835421922e-05,"tf.Tensor(0.3844814, shape=(), dtype=float32)","tf.Tensor(0.21851398, shape=(), dtype=float32)","tf.Tensor(0.4236956, shape=(), dtype=float32)","tf.Tensor(0.23837188, shape=(), dtype=float32)"
36,2.869557191111674e-06,0.00010146744073330388,"tf.Tensor(0.38449377, shape=(), dtype=float32)","tf.Tensor(0.21576147, shape=(), dtype=float32)","tf.Tensor(0.42398772, shape=(), dtype=float32)","tf.Tensor(0.23567124, shape=(), dtype=float32)"
37,2.8224311872118946e-06,0.00010428987192051577,"tf.Tensor(0.38438895, shape=(), dtype=float32)","tf.Tensor(0.21679373, shape=(), dtype=float32)","tf.Tensor(0.42374986, shape=(), dtype=float32)","tf.Tensor(0.23663685, shape=(), dtype=float32)"
38,2.8098471807988836e-06,0.00010709971910131465,"tf.Tensor(0.3843364, shape=(), dtype=float32)","tf.Tensor(0.21927379, shape=(), dtype=float32)","tf.Tensor(0.423493, shape=(), dtype=float32)","tf.Tensor(0.23884596, shape=(), dtype=float32)"
39,2.840665968159277e-06,0.00010994038506947393,"tf.Tensor(0.38426736, shape=(), dtype=float32)","tf.Tensor(0.21846607, shape=(), dtype=float32)","tf.Tensor(0.42371053, shape=(), dtype=float32)","tf.Tensor(0.23832223, shape=(), dtype=float32)"
40,2.81456425458329e-06,0.00011275494932405722,"tf.Tensor(0.3842353, shape=(), dtype=float32)","tf.Tensor(0.21801025, shape=(), dtype=float32)","tf.Tensor(0.4235012, shape=(), dtype=float32)","tf.Tensor(0.2377458, shape=(), dtype=float32)"
41,2.8359825275401524e-06,0.00011559093185159737,"tf.Tensor(0.38428274, shape=(), dtype=float32)","tf.Tensor(0.21523091, shape=(), dtype=float32)","tf.Tensor(0.42398208, shape=(), dtype=float32)","tf.Tensor(0.2352035, shape=(), dtype=float32)"
42,2.8514597366311918e-06,0.00011844239158822856,"tf.Tensor(0.38413626, shape=(), dtype=float32)","tf.Tensor(0.21717344, shape=(), dtype=float32)","tf.Tensor(0.4237784, shape=(), dtype=float32)","tf.Tensor(0.23720714, shape=(), dtype=float32)"
43,2.809953230285329e-06,0.0001212523448185139,"tf.Tensor(0.38406265, shape=(), dtype=float32)","tf.Tensor(0.21794882, shape=(), dtype=float32)","tf.Tensor(0.42361808, shape=(), dtype=float32)","tf.Tensor(0.23776056, shape=(), dtype=float32)"
44,2.9286194217710514e-06,0.00012418096424028494,"tf.Tensor(0.38418496, shape=(), dtype=float32)","tf.Tensor(0.22086938, shape=(), dtype=float32)","tf.Tensor(0.42358553, shape=(), dtype=float32)","tf.Tensor(0.24066144, shape=(), dtype=float32)"
45,2.923023271001716e-06,0.00012710398751128666,"tf.Tensor(0.38397574, shape=(), dtype=float32)","tf.Tensor(0.2178187, shape=(), dtype=float32)","tf.Tensor(0.4235862, shape=(), dtype=float32)","tf.Tensor(0.23767923, shape=(), dtype=float32)"
46,2.8389648303346152e-06,0.00012994295234162128,"tf.Tensor(0.38401234, shape=(), dtype=float32)","tf.Tensor(0.2153615, shape=(), dtype=float32)","tf.Tensor(0.42381528, shape=(), dtype=float32)","tf.Tensor(0.23528722, shape=(), dtype=float32)"
47,2.9161596582865005e-06,0.00013285911199990778,"tf.Tensor(0.38392034, shape=(), dtype=float32)","tf.Tensor(0.21676236, shape=(), dtype=float32)","tf.Tensor(0.4234601, shape=(), dtype=float32)","tf.Tensor(0.23664564, shape=(), dtype=float32)"
48,2.7983042361017275e-06,0.00013565741623600952,"tf.Tensor(0.38389647, shape=(), dtype=float32)","tf.Tensor(0.21875288, shape=(), dtype=float32)","tf.Tensor(0.42325124, shape=(), dtype=float32)","tf.Tensor(0.23843952, shape=(), dtype=float32)"
49,2.8079349064764866e-06,0.00013846535114248602,"tf.Tensor(0.3838869, shape=(), dtype=float32)","tf.Tensor(0.21929757, shape=(), dtype=float32)","tf.Tensor(0.42321464, shape=(), dtype=float32)","tf.Tensor(0.23904851, shape=(), dtype=float32)"
