epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse,recall_5,recall_10,ndcg_5,ndcg_10
15,2.440233910821774e-05,0.0003903325226514981,"tf.Tensor(0.8670094, shape=(), dtype=float32)","tf.Tensor(0.8852831, shape=(), dtype=float32)",0.021781250902611272,0.04357399032692965,0.046187807141155016,0.04937449547940275
16,2.42466224048444e-05,0.0004145791450563425,"tf.Tensor(0.86138976, shape=(), dtype=float32)","tf.Tensor(0.8823056, shape=(), dtype=float32)",0.03244668151365838,0.07096115405234221,0.044942811019344074,0.05505597061191493
17,2.4366561629781835e-05,0.0004389457066861244,"tf.Tensor(0.83905065, shape=(), dtype=float32)","tf.Tensor(0.8700104, shape=(), dtype=float32)",0.026837976837976837,0.0346610890956789,0.03241630605119681,0.03418547835310864
18,3.0450322486512122e-05,0.0004693960291726365,"tf.Tensor(0.8240504, shape=(), dtype=float32)","tf.Tensor(0.86544037, shape=(), dtype=float32)",0.033518844491384536,0.0623315536260751,0.03756673107134384,0.04682313458124581
19,2.697084057356516e-05,0.0004963668697462016,"tf.Tensor(0.8167235, shape=(), dtype=float32)","tf.Tensor(0.86424994, shape=(), dtype=float32)",0.03194129126807949,0.04828138093625728,0.04662362725289524,0.04726807271798522
20,2.449530073425288e-05,0.0005208621704804545,"tf.Tensor(0.8059104, shape=(), dtype=float32)","tf.Tensor(0.8640855, shape=(), dtype=float32)",0.03281854368541675,0.06014188676533877,0.050031131563953134,0.05483514875538034
21,2.4477021455855203e-05,0.0005453391919363097,"tf.Tensor(0.7896378, shape=(), dtype=float32)","tf.Tensor(0.8627367, shape=(), dtype=float32)",0.02917274548708372,0.06151544618915942,0.047702113749086374,0.05560005175591883
22,2.4414079676229665e-05,0.0005697532716125393,"tf.Tensor(0.7823519, shape=(), dtype=float32)","tf.Tensor(0.86446244, shape=(), dtype=float32)",0.030834490023030722,0.04397091187787013,0.04585325343327081,0.05006154797926477
23,2.4576636685264965e-05,0.0005943299082978043,"tf.Tensor(0.7732354, shape=(), dtype=float32)","tf.Tensor(0.86418176, shape=(), dtype=float32)",0.02094144887790967,0.03238004179771004,0.04326356723434518,0.042698273771393395
24,2.4670061582291827e-05,0.0006189999698800961,"tf.Tensor(0.76377004, shape=(), dtype=float32)","tf.Tensor(0.8664535, shape=(), dtype=float32)",0.04093445535482456,0.06600886814826114,0.06305275152916988,0.06679373119697016
25,2.5102048191489168e-05,0.0006441020180715853,"tf.Tensor(0.7574892, shape=(), dtype=float32)","tf.Tensor(0.8687173, shape=(), dtype=float32)",0.03402371757984462,0.08962052110034732,0.05213840540674334,0.06579026840779874
26,2.5546674803786907e-05,0.0006696486928753722,"tf.Tensor(0.7504817, shape=(), dtype=float32)","tf.Tensor(0.871234, shape=(), dtype=float32)",0.04878340449278664,0.07207434016530126,0.09118718952927315,0.0880794713822247
27,2.466149203540502e-05,0.0006943101849107772,"tf.Tensor(0.7423783, shape=(), dtype=float32)","tf.Tensor(0.8738857, shape=(), dtype=float32)",0.028004707473762006,0.04476837059352328,0.05017570472450497,0.050587135394109896
28,2.4828875829772886e-05,0.0007191390607405501,"tf.Tensor(0.73261356, shape=(), dtype=float32)","tf.Tensor(0.87611216, shape=(), dtype=float32)",0.038003232137251826,0.0578570364405419,0.05751952218544631,0.06015180889425319
29,2.465517204231866e-05,0.0007437942327828688,"tf.Tensor(0.7243303, shape=(), dtype=float32)","tf.Tensor(0.8812049, shape=(), dtype=float32)",0.017735115596846495,0.03155709557836595,0.0312111535404752,0.03602205235722464
30,2.4592422274590367e-05,0.0007683866550574591,"tf.Tensor(0.72025377, shape=(), dtype=float32)","tf.Tensor(0.8845117, shape=(), dtype=float32)",0.014090105120216773,0.029888571118150853,0.03840853718782352,0.03950645340755215
31,2.4711388458876805e-05,0.0007930980435163359,"tf.Tensor(0.71719, shape=(), dtype=float32)","tf.Tensor(0.88708967, shape=(), dtype=float32)",0.03350358541685072,0.051704422750341116,0.04320786890282781,0.0456775491170521
32,2.4656119013974242e-05,0.0008177541625303101,"tf.Tensor(0.71466786, shape=(), dtype=float32)","tf.Tensor(0.88980484, shape=(), dtype=float32)",0.021634739388362575,0.040392538121697734,0.034020783102425074,0.04157874484221889
33,2.4517658124839408e-05,0.0008422718206551495,"tf.Tensor(0.7062432, shape=(), dtype=float32)","tf.Tensor(0.894828, shape=(), dtype=float32)",0.023028055963377266,0.03653383294571266,0.044109469203576626,0.04645470432065733
34,2.496622873475518e-05,0.0008672380493899047,"tf.Tensor(0.697859, shape=(), dtype=float32)","tf.Tensor(0.89554745, shape=(), dtype=float32)",0.02289784904674812,0.03996913939528216,0.06474660719532109,0.061647118678795514
35,2.481908274905638e-05,0.000892057132138961,"tf.Tensor(0.690245, shape=(), dtype=float32)","tf.Tensor(0.900562, shape=(), dtype=float32)",0.04494157112016325,0.05502870620729834,0.0684105589751163,0.06233924082105746
36,2.460951878367753e-05,0.0009166666509226386,"tf.Tensor(0.68223435, shape=(), dtype=float32)","tf.Tensor(0.9056967, shape=(), dtype=float32)",0.016844252561164327,0.03714478536169712,0.039703148131591585,0.039621762920447105
37,2.4774552456038985e-05,0.0009414412033786776,"tf.Tensor(0.6754004, shape=(), dtype=float32)","tf.Tensor(0.912168, shape=(), dtype=float32)",0.03885914070177105,0.07709088070254508,0.04795841733648873,0.06288006995332222
38,2.4936382965195427e-05,0.000966377586343873,"tf.Tensor(0.6712448, shape=(), dtype=float32)","tf.Tensor(0.9146333, shape=(), dtype=float32)",0.023185759797149035,0.037387189885625435,0.04709577393126459,0.044952015665135944
39,2.5270672108802848e-05,0.0009916482584526758,"tf.Tensor(0.6631503, shape=(), dtype=float32)","tf.Tensor(0.9197432, shape=(), dtype=float32)",0.032019915607803075,0.04299620945657384,0.05796799174897121,0.05655984054186946
40,2.4701974839640854e-05,0.0010163502332923167,"tf.Tensor(0.6555544, shape=(), dtype=float32)","tf.Tensor(0.9263717, shape=(), dtype=float32)",0.013656261367010475,0.045147415010603834,0.03623372021482181,0.043211056073083134
41,2.4662970617543626e-05,0.0010410132039098603,"tf.Tensor(0.6487262, shape=(), dtype=float32)","tf.Tensor(0.9321846, shape=(), dtype=float32)",0.029750599946069437,0.049037731829160755,0.04428497109060782,0.04871272409304056
42,2.5119124337069606e-05,0.0010661323282469299,"tf.Tensor(0.64079916, shape=(), dtype=float32)","tf.Tensor(0.9385116, shape=(), dtype=float32)",0.03044123193553934,0.03769941580662643,0.05371824691262107,0.047431174659303924
43,2.4892530151552566e-05,0.0010910248583984824,"tf.Tensor(0.6336743, shape=(), dtype=float32)","tf.Tensor(0.94364375, shape=(), dtype=float32)",0.038480192403475284,0.05221136668555106,0.054929936643416034,0.055645882460331246
44,2.4757970926838735e-05,0.0011157828293253211,"tf.Tensor(0.62969077, shape=(), dtype=float32)","tf.Tensor(0.948781, shape=(), dtype=float32)",0.025240629924805066,0.044083948815188054,0.04968040160458141,0.05108834024645269
45,2.5242803871567426e-05,0.0011410256331968885,"tf.Tensor(0.62643516, shape=(), dtype=float32)","tf.Tensor(0.95382047, shape=(), dtype=float32)",0.022235543795191364,0.038359853911958376,0.043400079376883394,0.04500845809579723
46,2.6469433812332303e-05,0.0011674950670092208,"tf.Tensor(0.618637, shape=(), dtype=float32)","tf.Tensor(0.9589169, shape=(), dtype=float32)",0.03139776277386899,0.04293746492629786,0.0514205104003233,0.0508562513866611
47,2.481323118045586e-05,0.0011923082981896767,"tf.Tensor(0.6133927, shape=(), dtype=float32)","tf.Tensor(0.9628922, shape=(), dtype=float32)",0.03155985930422472,0.05302845580079435,0.057045436447466645,0.05717968566342375
48,2.4933120582147454e-05,0.0012172414187718243,"tf.Tensor(0.60675555, shape=(), dtype=float32)","tf.Tensor(0.96920323, shape=(), dtype=float32)",0.01169531754507124,0.02004045236167259,0.0263334280713743,0.026043481380090522
49,2.4856229080349176e-05,0.0012420976478521735,"tf.Tensor(0.5969186, shape=(), dtype=float32)","tf.Tensor(0.9786637, shape=(), dtype=float32)",0.03997302516324255,0.04833091123851993,0.050506035868694545,0.04814525456088193
