epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
33,2.7778699847266192e-06,9.51003164924318e-05,"tf.Tensor(0.93216586, shape=(), dtype=float32)","tf.Tensor(0.652352, shape=(), dtype=float32)","tf.Tensor(1.3601264, shape=(), dtype=float32)","tf.Tensor(0.9426114, shape=(), dtype=float32)"
34,2.8549624663412007e-06,9.7955278958773e-05,"tf.Tensor(0.9082212, shape=(), dtype=float32)","tf.Tensor(0.6347623, shape=(), dtype=float32)","tf.Tensor(1.3581297, shape=(), dtype=float32)","tf.Tensor(0.9407364, shape=(), dtype=float32)"
35,2.7126241747506947e-06,0.0001006679031335237,"tf.Tensor(0.88545424, shape=(), dtype=float32)","tf.Tensor(0.6186736, shape=(), dtype=float32)","tf.Tensor(1.3592733, shape=(), dtype=float32)","tf.Tensor(0.9419537, shape=(), dtype=float32)"
36,2.7989323215679524e-06,0.00010346683545509165,"tf.Tensor(0.86296326, shape=(), dtype=float32)","tf.Tensor(0.60311043, shape=(), dtype=float32)","tf.Tensor(1.3608272, shape=(), dtype=float32)","tf.Tensor(0.94379735, shape=(), dtype=float32)"
37,2.613289498414785e-06,0.00010608012495350643,"tf.Tensor(0.8413218, shape=(), dtype=float32)","tf.Tensor(0.58767897, shape=(), dtype=float32)","tf.Tensor(1.3621416, shape=(), dtype=float32)","tf.Tensor(0.9461617, shape=(), dtype=float32)"
38,2.5222433734910503e-06,0.00010860236832699748,"tf.Tensor(0.82053006, shape=(), dtype=float32)","tf.Tensor(0.57259905, shape=(), dtype=float32)","tf.Tensor(1.3641968, shape=(), dtype=float32)","tf.Tensor(0.9480263, shape=(), dtype=float32)"
39,2.51576140424478e-06,0.00011111812973124226,"tf.Tensor(0.80104303, shape=(), dtype=float32)","tf.Tensor(0.5587552, shape=(), dtype=float32)","tf.Tensor(1.3667006, shape=(), dtype=float32)","tf.Tensor(0.95101196, shape=(), dtype=float32)"
40,2.587839540222942e-06,0.0001137059692714652,"tf.Tensor(0.7823164, shape=(), dtype=float32)","tf.Tensor(0.54493093, shape=(), dtype=float32)","tf.Tensor(1.3696877, shape=(), dtype=float32)","tf.Tensor(0.9535493, shape=(), dtype=float32)"
41,2.556245235294739e-06,0.00011626221450675994,"tf.Tensor(0.764296, shape=(), dtype=float32)","tf.Tensor(0.53164244, shape=(), dtype=float32)","tf.Tensor(1.3727559, shape=(), dtype=float32)","tf.Tensor(0.9575006, shape=(), dtype=float32)"
42,2.514231701273194e-06,0.00011877644620803313,"tf.Tensor(0.7468919, shape=(), dtype=float32)","tf.Tensor(0.5187135, shape=(), dtype=float32)","tf.Tensor(1.3772237, shape=(), dtype=float32)","tf.Tensor(0.9617233, shape=(), dtype=float32)"
43,2.61042805739714e-06,0.00012138687426543027,"tf.Tensor(0.73046017, shape=(), dtype=float32)","tf.Tensor(0.5066712, shape=(), dtype=float32)","tf.Tensor(1.3802758, shape=(), dtype=float32)","tf.Tensor(0.96474475, shape=(), dtype=float32)"
44,2.848020307652922e-06,0.00012423489457308318,"tf.Tensor(0.7144666, shape=(), dtype=float32)","tf.Tensor(0.4949091, shape=(), dtype=float32)","tf.Tensor(1.3823586, shape=(), dtype=float32)","tf.Tensor(0.9673601, shape=(), dtype=float32)"
45,2.880040602205744e-06,0.0001271149351752889,"tf.Tensor(0.6991897, shape=(), dtype=float32)","tf.Tensor(0.4836066, shape=(), dtype=float32)","tf.Tensor(1.386684, shape=(), dtype=float32)","tf.Tensor(0.97078705, shape=(), dtype=float32)"
46,2.6511009217867705e-06,0.00012976603609707568,"tf.Tensor(0.68484896, shape=(), dtype=float32)","tf.Tensor(0.4729972, shape=(), dtype=float32)","tf.Tensor(1.3918145, shape=(), dtype=float32)","tf.Tensor(0.976877, shape=(), dtype=float32)"
47,2.7125518354820786e-06,0.00013247858793255776,"tf.Tensor(0.6710614, shape=(), dtype=float32)","tf.Tensor(0.4626214, shape=(), dtype=float32)","tf.Tensor(1.3948588, shape=(), dtype=float32)","tf.Tensor(0.9784658, shape=(), dtype=float32)"
48,2.653583111314355e-06,0.00013513217104387212,"tf.Tensor(0.65721595, shape=(), dtype=float32)","tf.Tensor(0.4523403, shape=(), dtype=float32)","tf.Tensor(1.3995179, shape=(), dtype=float32)","tf.Tensor(0.983751, shape=(), dtype=float32)"
49,2.7620155585488548e-06,0.00013789418660242097,"tf.Tensor(0.64420795, shape=(), dtype=float32)","tf.Tensor(0.4427412, shape=(), dtype=float32)","tf.Tensor(1.4047829, shape=(), dtype=float32)","tf.Tensor(0.9896686, shape=(), dtype=float32)"
