epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,valid_rmse
21,2.4212771699614903e-05,0.0005394253396107132,"tf.Tensor(0.7566908, shape=(), dtype=float32)","tf.Tensor(0.87045765, shape=(), dtype=float32)"
22,2.4224489562294407e-05,0.0005636498291730076,"tf.Tensor(0.75433177, shape=(), dtype=float32)","tf.Tensor(0.87145466, shape=(), dtype=float32)"
23,2.4312569031246253e-05,0.0005879623982042539,"tf.Tensor(0.7499728, shape=(), dtype=float32)","tf.Tensor(0.872023, shape=(), dtype=float32)"
24,3.0433371907406328e-05,0.0006183957701116602,"tf.Tensor(0.7430582, shape=(), dtype=float32)","tf.Tensor(0.87260216, shape=(), dtype=float32)"
25,2.429417114463945e-05,0.0006426899412562997,"tf.Tensor(0.73424387, shape=(), dtype=float32)","tf.Tensor(0.8765443, shape=(), dtype=float32)"
26,2.4197126259976868e-05,0.0006668870675162765,"tf.Tensor(0.72765815, shape=(), dtype=float32)","tf.Tensor(0.88020134, shape=(), dtype=float32)"
27,2.4291590852850138e-05,0.0006911786583691267,"tf.Tensor(0.72143817, shape=(), dtype=float32)","tf.Tensor(0.8832086, shape=(), dtype=float32)"
28,2.4193210142289658e-05,0.0007153718685114163,"tf.Tensor(0.71863586, shape=(), dtype=float32)","tf.Tensor(0.8882286, shape=(), dtype=float32)"
29,2.437262452692354e-05,0.0007397444930383398,"tf.Tensor(0.71430284, shape=(), dtype=float32)","tf.Tensor(0.88907826, shape=(), dtype=float32)"
30,2.4341680165420574e-05,0.0007640861732037604,"tf.Tensor(0.7111209, shape=(), dtype=float32)","tf.Tensor(0.89331, shape=(), dtype=float32)"
31,2.4446102040209025e-05,0.0007885322752439694,"tf.Tensor(0.7019913, shape=(), dtype=float32)","tf.Tensor(0.8937851, shape=(), dtype=float32)"
32,2.4351355623348428e-05,0.0008128836308673178,"tf.Tensor(0.6916639, shape=(), dtype=float32)","tf.Tensor(0.8992149, shape=(), dtype=float32)"
33,2.4456413334706127e-05,0.000837340044202024,"tf.Tensor(0.68585515, shape=(), dtype=float32)","tf.Tensor(0.9047428, shape=(), dtype=float32)"
34,2.4431142777093395e-05,0.0008617711869791174,"tf.Tensor(0.6763047, shape=(), dtype=float32)","tf.Tensor(0.90801, shape=(), dtype=float32)"
35,2.452339224986941e-05,0.0008862945792289869,"tf.Tensor(0.6703234, shape=(), dtype=float32)","tf.Tensor(0.91339344, shape=(), dtype=float32)"
36,2.437390511558213e-05,0.000910668484344569,"tf.Tensor(0.666316, shape=(), dtype=float32)","tf.Tensor(0.91739863, shape=(), dtype=float32)"
37,2.448239671096239e-05,0.0009351508810555314,"tf.Tensor(0.6623415, shape=(), dtype=float32)","tf.Tensor(0.9200896, shape=(), dtype=float32)"
38,2.4628776619271796e-05,0.0009597796576748032,"tf.Tensor(0.65575147, shape=(), dtype=float32)","tf.Tensor(0.92529446, shape=(), dtype=float32)"
39,2.4469097790040486e-05,0.0009842487554648437,"tf.Tensor(0.649996, shape=(), dtype=float32)","tf.Tensor(0.9302416, shape=(), dtype=float32)"
40,2.4457575755112467e-05,0.0010087063312199562,"tf.Tensor(0.6465531, shape=(), dtype=float32)","tf.Tensor(0.9346475, shape=(), dtype=float32)"
41,2.451008276773842e-05,0.0010332164139876946,"tf.Tensor(0.64016855, shape=(), dtype=float32)","tf.Tensor(0.93789566, shape=(), dtype=float32)"
42,2.4668119548314704e-05,0.0010578845335360092,"tf.Tensor(0.6295618, shape=(), dtype=float32)","tf.Tensor(0.94225615, shape=(), dtype=float32)"
43,2.4568439812452184e-05,0.0010824529733484615,"tf.Tensor(0.6141003, shape=(), dtype=float32)","tf.Tensor(0.95193017, shape=(), dtype=float32)"
44,2.4511235434999526e-05,0.001106964208783461,"tf.Tensor(0.6026998, shape=(), dtype=float32)","tf.Tensor(0.95802677, shape=(), dtype=float32)"
45,2.4660161399007153e-05,0.0011316243701824681,"tf.Tensor(0.5958851, shape=(), dtype=float32)","tf.Tensor(0.9643036, shape=(), dtype=float32)"
46,2.46017041357231e-05,0.0011562260743181911,"tf.Tensor(0.59000415, shape=(), dtype=float32)","tf.Tensor(0.9698796, shape=(), dtype=float32)"
47,2.4742603423356714e-05,0.001180968677741548,"tf.Tensor(0.5852562, shape=(), dtype=float32)","tf.Tensor(0.97511566, shape=(), dtype=float32)"
48,2.4712657240228018e-05,0.001205681334981776,"tf.Tensor(0.5824804, shape=(), dtype=float32)","tf.Tensor(0.9800281, shape=(), dtype=float32)"
49,2.4595168774033744e-05,0.0012302765037558096,"tf.Tensor(0.5775874, shape=(), dtype=float32)","tf.Tensor(0.9834481, shape=(), dtype=float32)"
