epoch,train_rmse,valid_rmse
31,"tf.Tensor(0.55273545, shape=(), dtype=float32)","tf.Tensor(0.91205007, shape=(), dtype=float32)"
32,"tf.Tensor(0.550719, shape=(), dtype=float32)","tf.Tensor(0.91360295, shape=(), dtype=float32)"
33,"tf.Tensor(0.5492546, shape=(), dtype=float32)","tf.Tensor(0.91586024, shape=(), dtype=float32)"
34,"tf.Tensor(0.55119014, shape=(), dtype=float32)","tf.Tensor(0.9197963, shape=(), dtype=float32)"
35,"tf.Tensor(0.5464316, shape=(), dtype=float32)","tf.Tensor(0.9202414, shape=(), dtype=float32)"
36,"tf.Tensor(0.54540414, shape=(), dtype=float32)","tf.Tensor(0.9223545, shape=(), dtype=float32)"
37,"tf.Tensor(0.5437796, shape=(), dtype=float32)","tf.Tensor(0.92450154, shape=(), dtype=float32)"
38,"tf.Tensor(0.540973, shape=(), dtype=float32)","tf.Tensor(0.92646396, shape=(), dtype=float32)"
39,"tf.Tensor(0.5392486, shape=(), dtype=float32)","tf.Tensor(0.92908406, shape=(), dtype=float32)"
40,"tf.Tensor(0.5406697, shape=(), dtype=float32)","tf.Tensor(0.9302887, shape=(), dtype=float32)"
41,"tf.Tensor(0.5378431, shape=(), dtype=float32)","tf.Tensor(0.932978, shape=(), dtype=float32)"
42,"tf.Tensor(0.536507, shape=(), dtype=float32)","tf.Tensor(0.9343111, shape=(), dtype=float32)"
43,"tf.Tensor(0.5362191, shape=(), dtype=float32)","tf.Tensor(0.93520945, shape=(), dtype=float32)"
44,"tf.Tensor(0.53387326, shape=(), dtype=float32)","tf.Tensor(0.9370777, shape=(), dtype=float32)"
45,"tf.Tensor(0.53375727, shape=(), dtype=float32)","tf.Tensor(0.94143915, shape=(), dtype=float32)"
46,"tf.Tensor(0.53162676, shape=(), dtype=float32)","tf.Tensor(0.94158083, shape=(), dtype=float32)"
47,"tf.Tensor(0.52929926, shape=(), dtype=float32)","tf.Tensor(0.94174874, shape=(), dtype=float32)"
48,"tf.Tensor(0.52873063, shape=(), dtype=float32)","tf.Tensor(0.9448739, shape=(), dtype=float32)"
49,"tf.Tensor(0.5290785, shape=(), dtype=float32)","tf.Tensor(0.94707364, shape=(), dtype=float32)"
