epoch,epoch_emissions_kg,cumulative_emissions_kg,train_rmse,train_mae,valid_rmse,valid_mae
38,4.953791919477843e-07,1.8817318964761765e-05,"tf.Tensor(1.2650946, shape=(), dtype=float32)","tf.Tensor(0.9943178, shape=(), dtype=float32)","tf.Tensor(1.3418851, shape=(), dtype=float32)","tf.Tensor(1.0542234, shape=(), dtype=float32)"
39,4.7131691930126946e-07,1.9288635884063035e-05,"tf.Tensor(1.2418242, shape=(), dtype=float32)","tf.Tensor(0.97361356, shape=(), dtype=float32)","tf.Tensor(1.321124, shape=(), dtype=float32)","tf.Tensor(1.0345103, shape=(), dtype=float32)"
40,4.284094112699419e-07,1.9717045295332976e-05,"tf.Tensor(1.2203809, shape=(), dtype=float32)","tf.Tensor(0.9546707, shape=(), dtype=float32)","tf.Tensor(1.3018355, shape=(), dtype=float32)","tf.Tensor(1.0168438, shape=(), dtype=float32)"
41,4.656977287940556e-07,2.0182743024127032e-05,"tf.Tensor(1.2010974, shape=(), dtype=float32)","tf.Tensor(0.93777245, shape=(), dtype=float32)","tf.Tensor(1.2852677, shape=(), dtype=float32)","tf.Tensor(1.0015708, shape=(), dtype=float32)"
42,4.4118928939260714e-07,2.062393231351964e-05,"tf.Tensor(1.1828449, shape=(), dtype=float32)","tf.Tensor(0.9217033, shape=(), dtype=float32)","tf.Tensor(1.2693566, shape=(), dtype=float32)","tf.Tensor(0.98714876, shape=(), dtype=float32)"
43,4.7224890772884016e-07,2.109618122124848e-05,"tf.Tensor(1.1659209, shape=(), dtype=float32)","tf.Tensor(0.90667933, shape=(), dtype=float32)","tf.Tensor(1.2554188, shape=(), dtype=float32)","tf.Tensor(0.9741021, shape=(), dtype=float32)"
44,4.64668428513611e-07,2.156084964976209e-05,"tf.Tensor(1.1497339, shape=(), dtype=float32)","tf.Tensor(0.8924161, shape=(), dtype=float32)","tf.Tensor(1.2422872, shape=(), dtype=float32)","tf.Tensor(0.9613198, shape=(), dtype=float32)"
45,4.625328566263469e-07,2.2023382506388436e-05,"tf.Tensor(1.1342901, shape=(), dtype=float32)","tf.Tensor(0.87892956, shape=(), dtype=float32)","tf.Tensor(1.2301414, shape=(), dtype=float32)","tf.Tensor(0.9494938, shape=(), dtype=float32)"
46,4.326012297923306e-07,2.2455983736180766e-05,"tf.Tensor(1.1193801, shape=(), dtype=float32)","tf.Tensor(0.8658065, shape=(), dtype=float32)","tf.Tensor(1.2184379, shape=(), dtype=float32)","tf.Tensor(0.9385302, shape=(), dtype=float32)"
47,4.792919122553229e-07,2.293527564843609e-05,"tf.Tensor(1.1050218, shape=(), dtype=float32)","tf.Tensor(0.85324264, shape=(), dtype=float32)","tf.Tensor(1.2075713, shape=(), dtype=float32)","tf.Tensor(0.9279963, shape=(), dtype=float32)"
48,4.5065228890222177e-07,2.338592793733831e-05,"tf.Tensor(1.0913335, shape=(), dtype=float32)","tf.Tensor(0.84105706, shape=(), dtype=float32)","tf.Tensor(1.1973224, shape=(), dtype=float32)","tf.Tensor(0.91824955, shape=(), dtype=float32)"
49,4.339239747592798e-07,2.381985191209759e-05,"tf.Tensor(1.078216, shape=(), dtype=float32)","tf.Tensor(0.82947934, shape=(), dtype=float32)","tf.Tensor(1.1872748, shape=(), dtype=float32)","tf.Tensor(0.9085508, shape=(), dtype=float32)"
