epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,auc,f1,rmse,recall
14,3.7712878898295784e-05,0.0005798227450144295,1.3865106733925139,0.4997646439677055,0.5039279555469263,0.49999220897254903,0.5031275889946956
15,3.702871331746988e-05,0.0006168514583318994,1.3866552625001813,0.49697923886989326,0.49660600106829433,0.4999649246172625,0.5013726860140549
16,3.7068876693004594e-05,0.000653920335024904,1.3868259720738159,0.49806962060217425,0.5092812199266195,0.49993332326692097,0.5225651250298022
17,3.701917977083784e-05,0.0006909395147957418,1.3865395535802627,0.49808228794097104,0.4956842397847352,0.49998638054253575,0.49323572881425737
18,3.709292487607167e-05,0.0007280324396718135,1.386611219211544,0.4985949891223587,0.4956009596478412,0.49997330731042305,0.4909565182827538
19,3.743525825922567e-05,0.0007654676979310392,1.3867100752522592,0.49958645988315664,0.49227410083768836,0.49995599269637875,0.4796929260356905
20,3.6840150862752344e-05,0.0008023078487937915,1.386575549439999,0.49775944303328673,0.5012543794275072,0.4999793905644045,0.5025508376024909
21,3.616920451325247e-05,0.0008384770533070439,1.386650564959231,0.49742546311877067,0.5039825977291305,0.4999651698450338,0.5082066125179939
22,3.619431728862582e-05,0.0008746713705956698,1.3865468240104983,0.4980368872283241,0.5037963191121005,0.49998653513707825,0.4904605834078569
23,3.620776926969815e-05,0.000910879139865368,1.3864706997914165,0.4948683817884027,0.4875878133157072,0.4999991608177938,0.4657161262116445
24,3.65198670999487e-05,0.0009473990069653167,1.3867034936165061,0.49836100384440446,0.5028876262179134,0.4999543247661673,0.5082645658539561
25,3.6031470445600886e-05,0.0009834304774109176,1.3866050131117817,0.49660547841739056,0.485527802361943,0.4999745590381376,0.47748334670875753
26,3.605099629246726e-05,0.001019481473703385,1.3865421197874128,0.4979776845035717,0.5039116020917591,0.499986805197745,0.5032420471684764
27,3.6084915949565376e-05,0.0010555663896529503,1.3866747529517374,0.4997426243566056,0.4994512953152096,0.49996026153849593,0.4987281039491892
28,3.6139990849248476e-05,0.0010917063805021988,1.3866071615518476,0.4991124535510074,0.5029606508430124,0.4999752327561473,0.502926351005529
29,3.630964834173577e-05,0.0011280160288439345,1.3866170468351766,0.49881337917216495,0.499761325222589,0.49997258139515793,0.5008295545499218
30,3.611847745368915e-05,0.0011641345062976237,1.3864967098685124,0.4973932762187666,0.49924272388298985,0.49999445324103176,0.5030739847997693
31,3.592298107699948e-05,0.0012000574873746231,1.3865150635552512,0.4977272846132039,0.5034600884901211,0.4999904720108012,0.5071991525034288
32,3.5988846045719826e-05,0.001236046333420343,1.386693128823165,0.49574599554896115,0.49089114119869587,0.49995733469637976,0.4868318128451486
33,3.597935265324968e-05,0.0012720256860735927,1.3865835188215623,0.49761517340901584,0.4871004588903827,0.49997918812545583,0.4800729273290399
34,3.595663168471858e-05,0.0013079823177583113,1.3865317130302635,0.4981297540797261,0.502298507599314,0.499988837283496,0.4988430414161328
35,3.589808695409604e-05,0.0013438804047124072,1.3864942508428086,0.4973968888282864,0.4966096386721459,0.4999949058016136,0.4906920498509928
36,3.590320950406594e-05,0.0013797836142164731,1.386478572950235,0.5009846592362022,0.5089548823037375,0.4999976688205503,0.5065619824088495
37,3.598781299629156e-05,0.0014157714272127646,1.3866164670931385,0.4983264657128593,0.49614669800530475,0.4999731471054387,0.4933469216894992
38,3.579084515897938e-05,0.001451562272371744,1.3866031103070007,0.4989260960076978,0.49308476004017526,0.4999732760474381,0.4889609506881812
39,3.5922594805754325e-05,0.0014874848671774985,1.3866605224096187,0.4987380994852133,0.49572290423720844,0.4999668098231619,0.4912066351437314
40,3.588978967055732e-05,0.0015233746568480558,1.3866173127841521,0.5006326075831213,0.5061779010184061,0.49997252932065844,0.5080818483884707
41,3.6623612310056626e-05,0.0015599982691581124,1.3865008421008362,0.4969245338994465,0.4922888661146348,0.4999926399499232,0.4876202270346473
42,4.425272989028171e-05,0.0016042509990483941,1.3865634935319155,0.4998543114377451,0.4985844956590651,0.4999828659219584,0.499051274053209
43,4.25256954454492e-05,0.0016467766944938433,1.3867705493764493,0.49791392039974874,0.49373990742271934,0.49993828173493693,0.4920653361875168
44,4.0869160768552636e-05,0.0016876458552623958,1.3866614755493643,0.4946107029122552,0.49871488221677607,0.4999680833908321,0.5027576726981382
45,4.32197937510637e-05,0.0017308656490134596,1.3864806885141963,0.49875315796246605,0.5066306955297659,0.49999718729791504,0.5050297057441081
