epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,auc,f1,rmse,recall
17,3.592648882223329e-05,0.0007218349998207344,1.3865232986185048,0.4987619450663566,0.4987633863470588,0.49998960338938253,0.49612478304792634
18,3.597534340606235e-05,0.0007578103432267967,1.3865774255162397,0.49739374394966135,0.4953749684101154,0.49997998408080985,0.48937113436915375
19,3.608907839682037e-05,0.0007938994216236171,1.3867454908353865,0.5004110642004708,0.493994079497247,0.49994922874241343,0.48323900257628166
20,3.608290032947425e-05,0.0008299823219530914,1.3865837134053354,0.49769774128399213,0.49692954431992414,0.49997810606606735,0.49609707718028634
21,3.598636370394466e-05,0.0008659686856570361,1.3866662433863755,0.49844069692688137,0.509796377669742,0.49996184534954147,0.5191034163833856
22,3.6072538812887756e-05,0.0009020412244699239,1.3865440725745641,0.4985257727272091,0.4940921346514108,0.49998731796367335,0.4739012347045159
23,3.885171934410037e-05,0.0009408929438140243,1.3864687213448665,0.4955252654625534,0.4979265722906986,0.4999995522303441,0.4668060138381352
24,3.6781936701681503e-05,0.0009776748805157057,1.3867465300410318,0.4989632089668841,0.506643598283069,0.49994561930920434,0.5136043402528588
25,3.610769196790441e-05,0.0010137825724836102,1.3865701510767232,0.49739747570200404,0.48782050649481284,0.49998157476452393,0.4751613792853917
26,3.602847988431656e-05,0.0010498110523679267,1.386525158390336,0.4990046192190219,0.4994694887781761,0.49998957809051686,0.49622728028603774
27,3.6085413341909505e-05,0.0010858964657098362,1.386670012912408,0.49920066972241656,0.5016620666804759,0.4999612358549498,0.5047454806443783
28,3.62263298572572e-05,0.0011221227955670935,1.3866013831087292,0.49822731404673337,0.5021615199349583,0.4999766725267264,0.5014858319933609
29,3.611615080027613e-05,0.0011582389463673697,1.3865286053028876,0.4973272824749907,0.5056923175835142,0.4999890615634654,0.5147623025019837
30,3.596805039528421e-05,0.001194206996762654,1.3864994703921503,0.49746411826675424,0.49259871291933166,0.49999420125049,0.48403426505420283
31,3.6193471314103424e-05,0.0012304004680767575,1.3865307310236943,0.4975353239858328,0.5008511838091069,0.49998810938123706,0.5049374540226477
32,3.6009466614371274e-05,0.0012664099346911288,1.3866256119959024,0.49537632973502854,0.4980645522284359,0.4999703744920565,0.5007175306427778
33,3.598811577847336e-05,0.0013023980504696022,1.3865212282257764,0.49978367192698797,0.49566621651845716,0.49999017618310176,0.48758418272165727
34,3.603443445747654e-05,0.0013384324849270788,1.3865360120486785,0.49887011649342494,0.5086879510027081,0.4999880668236597,0.510447712105715
35,3.723960768767086e-05,0.0013756720926147497,1.3865124609972863,0.4965998280970458,0.49107720814803985,0.4999916745287661,0.48726855435148514
36,3.611087077648505e-05,0.0014117829633912347,1.3864929852464274,0.5000676527618311,0.5110977534918493,0.4999951147747098,0.517929710234577
37,3.600105886708624e-05,0.001447784022258321,1.3867300601818102,0.4984299560657807,0.4952824199362381,0.49995297230873326,0.49235623719178767
38,3.6195019634079195e-05,0.0014839790418924002,1.3865771018336173,0.4987871563366738,0.4901362287271256,0.499978427203389,0.4851091381414007
39,3.616390092182151e-05,0.0015201429428142218,1.3866384045425553,0.49894364164690985,0.49865534465797123,0.49997005649904686,0.4957263286380977
40,3.6117868743364416e-05,0.0015562608115575862,1.3865790877641584,0.4979568700823312,0.503100041677676,0.4999798894737972,0.5016057946479722
41,3.636562624936383e-05,0.00159262643780695,1.3865047580992695,0.49749474517750214,0.4919016525950942,0.4999923634843973,0.48584338792770043
42,3.6394342097223675e-05,0.0016290207799041737,1.3865697870340048,0.49962791246211086,0.49465738212544913,0.49998158414746674,0.48388855986231055
43,3.617473038604198e-05,0.0016651955102902156,1.386752963066101,0.49816546900083364,0.5010833074067322,0.49994330505980245,0.503386028787672
44,3.617470683607713e-05,0.0017013702171262929,1.3866479781711047,0.4944595807533311,0.4935008593734455,0.49996872980123036,0.4961888011045895
45,3.601707241216716e-05,0.00173738728953846,1.3864912064620731,0.4984068919028559,0.49959602577577283,0.499995264134589,0.49781687722694573
