epoch,train_rmse,valid_rmse
36,"tf.Tensor(0.61472726, shape=(), dtype=float32)","tf.Tensor(0.9460784, shape=(), dtype=float32)"
37,"tf.Tensor(0.60565275, shape=(), dtype=float32)","tf.Tensor(0.95604837, shape=(), dtype=float32)"
38,"tf.Tensor(0.59875923, shape=(), dtype=float32)","tf.Tensor(0.95805347, shape=(), dtype=float32)"
39,"tf.Tensor(0.5924272, shape=(), dtype=float32)","tf.Tensor(0.9640755, shape=(), dtype=float32)"
40,"tf.Tensor(0.58834124, shape=(), dtype=float32)","tf.Tensor(0.96875244, shape=(), dtype=float32)"
41,"tf.Tensor(0.58519745, shape=(), dtype=float32)","tf.Tensor(0.97775173, shape=(), dtype=float32)"
42,"tf.Tensor(0.58188576, shape=(), dtype=float32)","tf.Tensor(0.982903, shape=(), dtype=float32)"
43,"tf.Tensor(0.5799329, shape=(), dtype=float32)","tf.Tensor(0.98455095, shape=(), dtype=float32)"
44,"tf.Tensor(0.5751037, shape=(), dtype=float32)","tf.Tensor(0.989288, shape=(), dtype=float32)"
45,"tf.Tensor(0.5706958, shape=(), dtype=float32)","tf.Tensor(0.99356294, shape=(), dtype=float32)"
46,"tf.Tensor(0.5666647, shape=(), dtype=float32)","tf.Tensor(1.002664, shape=(), dtype=float32)"
47,"tf.Tensor(0.55679655, shape=(), dtype=float32)","tf.Tensor(1.0026125, shape=(), dtype=float32)"
48,"tf.Tensor(0.55097055, shape=(), dtype=float32)","tf.Tensor(1.0069997, shape=(), dtype=float32)"
49,"tf.Tensor(0.54467, shape=(), dtype=float32)","tf.Tensor(1.0105835, shape=(), dtype=float32)"
