epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,train_mae,valid_rmse,valid_mae
34,1223.40625,38.8,46.84960722923279,"tf.Tensor(0.6702386, shape=(), dtype=float32)","tf.Tensor(0.52437055, shape=(), dtype=float32)","tf.Tensor(0.90951884, shape=(), dtype=float32)","tf.Tensor(0.70265067, shape=(), dtype=float32)"
35,1247.10546875,39.2,42.68646287918091,"tf.Tensor(0.6597862, shape=(), dtype=float32)","tf.Tensor(0.51709974, shape=(), dtype=float32)","tf.Tensor(0.9141432, shape=(), dtype=float32)","tf.Tensor(0.70681417, shape=(), dtype=float32)"
36,1272.21875,28.5,42.7080180644989,"tf.Tensor(0.65211856, shape=(), dtype=float32)","tf.Tensor(0.5095036, shape=(), dtype=float32)","tf.Tensor(0.9186695, shape=(), dtype=float32)","tf.Tensor(0.7078646, shape=(), dtype=float32)"
37,1297.86328125,29.8,40.69640517234802,"tf.Tensor(0.644449, shape=(), dtype=float32)","tf.Tensor(0.50294966, shape=(), dtype=float32)","tf.Tensor(0.92718905, shape=(), dtype=float32)","tf.Tensor(0.713347, shape=(), dtype=float32)"
38,1321.60546875,25.3,40.70351552963257,"tf.Tensor(0.6339804, shape=(), dtype=float32)","tf.Tensor(0.49587846, shape=(), dtype=float32)","tf.Tensor(0.9325911, shape=(), dtype=float32)","tf.Tensor(0.71795195, shape=(), dtype=float32)"
39,1344.75390625,24.3,40.689043283462524,"tf.Tensor(0.6274021, shape=(), dtype=float32)","tf.Tensor(0.4868461, shape=(), dtype=float32)","tf.Tensor(0.9386237, shape=(), dtype=float32)","tf.Tensor(0.71872354, shape=(), dtype=float32)"
40,1369.89453125,24.5,40.509318351745605,"tf.Tensor(0.61655253, shape=(), dtype=float32)","tf.Tensor(0.48083958, shape=(), dtype=float32)","tf.Tensor(0.94456536, shape=(), dtype=float32)","tf.Tensor(0.72517246, shape=(), dtype=float32)"
41,1393.27734375,23.2,40.30566215515137,"tf.Tensor(0.61112326, shape=(), dtype=float32)","tf.Tensor(0.47799227, shape=(), dtype=float32)","tf.Tensor(0.9524526, shape=(), dtype=float32)","tf.Tensor(0.73184156, shape=(), dtype=float32)"
42,1418.0859375,24.1,40.407920598983765,"tf.Tensor(0.6038653, shape=(), dtype=float32)","tf.Tensor(0.47097018, shape=(), dtype=float32)","tf.Tensor(0.9584997, shape=(), dtype=float32)","tf.Tensor(0.7342409, shape=(), dtype=float32)"
43,1442.27734375,24.2,39.47436833381653,"tf.Tensor(0.5995533, shape=(), dtype=float32)","tf.Tensor(0.46798688, shape=(), dtype=float32)","tf.Tensor(0.9584705, shape=(), dtype=float32)","tf.Tensor(0.7342715, shape=(), dtype=float32)"
44,1450.98046875,26.2,40.78989791870117,"tf.Tensor(0.5920709, shape=(), dtype=float32)","tf.Tensor(0.46040127, shape=(), dtype=float32)","tf.Tensor(0.9660842, shape=(), dtype=float32)","tf.Tensor(0.7378115, shape=(), dtype=float32)"
45,1474.79296875,24.8,40.544431924819946,"tf.Tensor(0.58377665, shape=(), dtype=float32)","tf.Tensor(0.45448357, shape=(), dtype=float32)","tf.Tensor(0.9736403, shape=(), dtype=float32)","tf.Tensor(0.7433575, shape=(), dtype=float32)"
46,1498.6640625,24.8,40.60935926437378,"tf.Tensor(0.5771174, shape=(), dtype=float32)","tf.Tensor(0.44839612, shape=(), dtype=float32)","tf.Tensor(0.97612137, shape=(), dtype=float32)","tf.Tensor(0.7440492, shape=(), dtype=float32)"
47,1522.96484375,25.1,40.402825593948364,"tf.Tensor(0.57267344, shape=(), dtype=float32)","tf.Tensor(0.4469717, shape=(), dtype=float32)","tf.Tensor(0.9871837, shape=(), dtype=float32)","tf.Tensor(0.75353926, shape=(), dtype=float32)"
48,1546.83984375,24.0,40.74153280258179,"tf.Tensor(0.5659599, shape=(), dtype=float32)","tf.Tensor(0.43934396, shape=(), dtype=float32)","tf.Tensor(0.9896704, shape=(), dtype=float32)","tf.Tensor(0.75337, shape=(), dtype=float32)"
49,1569.1796875,24.2,40.41073393821716,"tf.Tensor(0.56209576, shape=(), dtype=float32)","tf.Tensor(0.4358014, shape=(), dtype=float32)","tf.Tensor(0.99403936, shape=(), dtype=float32)","tf.Tensor(0.7557685, shape=(), dtype=float32)"
